route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3778_48887,129,3778_6367,Belgard,212.MF-BH.93-RED-y11,1,3778_7778148_Txc109616,3778_40
3778_48886,130,3778_637,Sandyford,201.Sat.93-GRN-y11-1,0,3778_7778148_Txc105022,3778_4
3778_48887,132,3778_6370,The Point,174.SuBH.93-RED-y11-,1,3778_7778148_Txc109448,3778_56
3778_48887,130,3778_6375,Belgard,160.Sat.93-RED-y11-1,1,3778_7778148_Txc109387,3778_40
3778_48887,131,3778_6376,Belgard,160.gf.93-RED-y11-16,1,3778_7778148_Txc109389,3778_40
3778_48887,132,3778_6379,Belgard,175.SuBH.93-RED-y11-,1,3778_7778148_Txc109452,3778_40
3778_48886,131,3778_638,Sandyford,201.gf.93-GRN-y11-16,0,3778_7778148_Txc105023,3778_4
3778_48887,129,3778_6384,The Point,213.MF-BH.93-RED-y11,1,3778_7778148_Txc109620,3778_50
3778_48887,130,3778_6385,The Point,161.Sat.93-RED-y11-1,1,3778_7778148_Txc109391,3778_51
3778_48887,131,3778_6386,The Point,161.gf.93-RED-y11-16,1,3778_7778148_Txc109393,3778_52
3778_48887,132,3778_6389,The Point,176.SuBH.93-RED-y11-,1,3778_7778148_Txc109456,3778_56
3778_48887,129,3778_6394,Belgard,214.MF-BH.93-RED-y11,1,3778_7778148_Txc109624,3778_40
3778_48887,130,3778_6395,Belgard,162.Sat.93-RED-y11-1,1,3778_7778148_Txc109395,3778_40
3778_48887,131,3778_6396,Belgard,162.gf.93-RED-y11-16,1,3778_7778148_Txc109397,3778_40
3778_48887,132,3778_6399,Belgard,177.SuBH.93-RED-y11-,1,3778_7778148_Txc109460,3778_40
3778_48887,129,3778_6404,The Point,215.MF-BH.93-RED-y11,1,3778_7778148_Txc109628,3778_50
3778_48887,130,3778_6405,The Point,163.Sat.93-RED-y11-1,1,3778_7778148_Txc109399,3778_51
3778_48887,131,3778_6406,The Point,163.gf.93-RED-y11-16,1,3778_7778148_Txc109401,3778_52
3778_48887,132,3778_6409,The Point,178.SuBH.93-RED-y11-,1,3778_7778148_Txc109464,3778_56
3778_48887,130,3778_6414,Belgard,164.Sat.93-RED-y11-1,1,3778_7778148_Txc109403,3778_40
3778_48887,131,3778_6415,Belgard,164.gf.93-RED-y11-16,1,3778_7778148_Txc109405,3778_40
3778_48887,129,3778_6418,Belgard,216.MF-BH.93-RED-y11,1,3778_7778148_Txc109632,3778_40
3778_48887,132,3778_6419,Belgard,179.SuBH.93-RED-y11-,1,3778_7778148_Txc109468,3778_40
